index Betriebname Milchmenge Fett.B Laktationstag BetriebDatum
183 Dummerstorf 0.630891451236905 -0.213219284291949 43 Dummerstor2009-07-02
184 Grevesmuehlen 1.23335160460765 -0.333070019835232 43 Grevesmueh2009-07-07
185 Vipperow 0.329661374551534 -0.70974376011412 44 Vipperow2009-07-01
186 Dargun -0.396029264735952 -0.624136091868918 79 Dargun2009-07-06
187 Dargun 0.28858454591262 -0.127611616046747 75 Dargun2009-07-06
188 Vipperow 1.46612030022816 0.249062124232141 29 Vipperow2009-07-01
189 Vipperow 2.3561182540713 0.574371263563908 45 Vipperow2009-07-01
190 Usedom -0.587721131717552 1.44756947966497 73 Usedom2009-07-07
191 Usedom 0.589814622597991 0.351791326126383 69 Usedom2009-07-07
192 Grevesmuehlen 0.274892269699648 1.34484027777072 49 Grevesmueh2009-07-07
193 Dummerstorf 1.46612030022816 -0.0933685487486663 30 Dummerstor2009-07-02
194 Dargun -0.834182103551037 0.129211388688858 70 Dargun2009-07-06
195 Dummerstorf 0.261199993486677 -0.589893024570837 22 Dummerstor2009-07-02
196 Niendorf -1.97064102922767 1.22498954222744 61 Niendorf2009-07-05
197 Vipperow 0.507660965320162 -0.761108361061241 40 Vipperow2009-07-01
198 Usedom -1.92956420058875 1.67014941710249 103 Usedom2009-07-07
199 Usedom 0.179046336208848 -0.178976216993869 43 Usedom2009-07-07
200 Usedom -0.76572072248618 0.899680402895676 77 Usedom2009-07-07
201 Dummerstorf 1.61673533857085 -0.778229894710282 38 Dummerstor2009-07-02
202 Niendorf 0.137969507569934 -0.504285356325636 55 Niendorf2009-07-05
203 Dargun 0.713045108514734 -0.0762470150996263 73 Dargun2009-07-06
204 Niendorf 0.00104674544021977 -0.418677688080434 27 Niendorf2009-07-05
205 Grevesmuehlen 1.19227477596873 0.831194268299514 48 Grevesmueh2009-07-07
206 Krabben 2.42457963513616 -0.915202163902605 101 Krabben2009-05-05
207 Vipperow 2.67104060696965 0.231940590583101 61 Vipperow2009-07-01
208 Niendorf 0.233815441060734 -0.846716029306444 113 Niendorf2009-07-05
209 Dargun 1.12381339490388 -2.01098031744119 68 Dargun2009-07-06
